date,platform,group,play_duration
20201205,platformB,exp2,4.22E+07
20201204,platformB,exp2,4.14E+07
20201202,platformB,exp2,4.09E+07
20201201,platformB,exp2,4.03E+07
20201203,platformB,exp2,4.13E+07
20201203,platformB,exp1,4.12E+07
20201202,platformB,exp1,4.09E+07
20201201,platformB,exp1,4.04E+07
20201205,platformB,exp1,4.24E+07
20201204,platformB,exp1,4.15E+07
20201203,platformB,base2,4.14E+07
20201205,platformB,base2,4.26E+07
20201202,platformB,base2,4.11E+07
20201204,platformB,base2,4.17E+07
20201201,platformB,base2,4.05E+07
20201203,platformB,base1,4.14E+07
20201205,platformB,base1,4.24E+07
20201201,platformB,base1,4.04E+07
20201202,platformB,base1,4.10E+07
20201204,platformB,base1,4.16E+07
20201201,platformA,exp2,1.22E+08
20201205,platformA,exp2,1.23E+08
20201204,platformA,exp2,1.21E+08
20201202,platformA,exp2,1.24E+08
20201203,platformA,exp2,1.23E+08
20201202,platformA,exp1,1.24E+08
20201205,platformA,exp1,1.23E+08
20201203,platformA,exp1,1.23E+08
20201201,platformA,exp1,1.22E+08
20201204,platformA,exp1,1.21E+08
20201201,platformA,base2,1.22E+08
20201202,platformA,base2,1.24E+08
20201203,platformA,base2,1.23E+08
20201204,platformA,base2,1.21E+08
20201205,platformA,base2,1.23E+08
20201202,platformA,base1,1.24E+08
20201203,platformA,base1,1.23E+08
20201201,platformA,base1,1.22E+08
20201205,platformA,base1,1.23E+08
20201204,platformA,base1,1.21E+08